Iteracion,led_x,led_y,Diferencia,Data,Simuladas
40,3,17,1596554553.973904,1596726434.1510956,171880.17
40,3,18,1874087563.3741882,1874102176.821584,14613.445
40,3,19,2089448817.7942464,2089468412.582207,19594.785
40,3,20,2340426312.72152,2340574089.2498794,148330.86
45,1,1,1212688090925.1572,1451541848603.4019,238853590000.0
45,2,1,8846738639.361868,10176026587.078632,3896611000.0
45,2,2,8389720622.167018,9547824793.353415,4887486500.0
45,2,3,7301273518.1183605,8413401993.768299,4108995300.0
45,2,4,7092879828.6703825,8372318909.940894,3504232200.0
45,2,5,7213016171.628671,8433770265.178412,4056727000.0
45,2,6,9660282022.047953,11276598451.37594,4710241000.0
45,2,7,9993657671.993664,11682544661.32534,6106112500.0
45,2,8,8264016566.260765,9293744349.226927,5048838700.0
45,2,9,7666361339.610068,8917860443.958853,3928109300.0
45,2,10,7846026201.354339,8988917348.09337,4017618400.0
45,3,1,2661808189.9827356,2662111397.2950034,303207.53
45,3,2,2531730042.295935,2531894828.4574986,164877.81
45,3,3,2303465647.5446444,2303502093.3394847,36445.785
45,3,4,1742334578.3905573,1742379172.2394671,44593.863
45,3,5,1622532689.2814605,1622726195.523456,193506.31
45,3,6,1642917551.7994704,1643310856.257977,393304.44
45,3,7,1656024092.6154053,1656229425.7720997,205333.17
45,3,8,1882159291.2856486,1882194247.3107564,34956.027
45,3,9,2125143818.0506783,2125178767.7281563,34949.71
45,3,10,2360720804.6602736,2360901699.3197794,180894.6
45,3,11,2752015257.110844,2752347281.5061994,332024.56
45,3,12,2639658834.583342,2639878016.9118094,219265.56
45,3,13,2354917387.6398973,2354985158.158999,67770.516
45,3,14,1748127364.8795092,1748200968.1788473,73603.336
45,3,15,1554852307.6475024,1555070646.1163015,218338.5
45,3,16,1637835475.0112193,1638276406.3421552,440931.28
45,3,17,1596532664.1522386,1596726434.1510956,193769.95
45,3,18,1874071881.3434238,1874102176.821584,30295.484
45,3,19,2089428941.5097077,2089468412.582207,39471.086
45,3,20,2340393297.2439995,2340574089.2498794,181314.83
50,1,1,913573580811.5378,1451541848603.4019,537968150000.0
50,2,1,8954193379.507393,10176026587.078632,7559244300.0
50,2,2,9723166774.394861,9547824793.353415,9294308000.0
50,2,3,8168074325.594362,8413401993.768299,7177896400.0
50,2,4,7333890639.391803,8372318909.940894,6401573400.0
50,2,5,7916174766.93418,8433770265.178412,7885089000.0
50,2,6,10174555245.432238,11276598451.37594,9253440000.0
50,2,7,11367077476.653057,11682544661.32534,11756026000.0
50,2,8,9410028059.380554,9293744349.226927,8948060000.0
50,2,9,7978625382.254916,8917860443.958853,7283644400.0
50,2,10,8585682672.5257845,8988917348.09337,7838250500.0
50,3,1,2661654155.5143275,2662111397.2950034,457241.4
50,3,2,2531586185.1676865,2531894828.4574986,309261.94
50,3,3,2303385966.9200745,2303502093.3394847,116126.43
50,3,4,1742246843.6642911,1742379172.2394671,132328.61
50,3,5,1622435325.5431101,1622726195.523456,290870.03
50,3,6,1642742302.1300592,1643310856.257977,568554.0
50,3,7,1655944690.3041973,1656229425.7720997,284735.66
50,3,8,1882093583.066562,1882194247.3107564,100664.21
50,3,9,2125067661.564131,2125178767.7281563,111106.18
50,3,10,2360609017.0549946,2360901699.3197794,292682.03
50,3,11,2751816328.2006984,2752347281.5061994,530953.5
50,3,12,2639442090.964743,2639878016.9118094,436114.53
50,3,13,2354733417.6148157,2354985158.158999,251740.6
50,3,14,1747938018.4189677,1748200968.1788473,262949.97
50,3,15,1554715756.6560154,1555070646.1163015,354888.7
50,3,16,1637579076.687947,1638276406.3421552,697330.06
50,3,17,1596467905.378492,1596726434.1510956,258528.86
50,3,18,1874009157.6240575,1874102176.821584,93019.195
50,3,19,2089351585.136684,2089468412.582207,116827.49
50,3,20,2340273170.7755346,2340574089.2498794,301447.28
55,1,1,548205906786.55945,1451541848603.4019,906778100000.0
55,2,1,8988893630.80317,10176026587.078632,8943970000.0
55,2,2,9620678242.178904,9547824793.353415,10284302000.0
55,2,3,7873902734.080589,8413401993.768299,7177477000.0
55,2,4,7368657567.481952,8372318909.940894,7313366500.0
55,2,5,8264434659.857106,8433770265.178412,9511733000.0
55,2,6,10435205727.654575,11276598451.37594,10959716000.0
55,2,7,11536191302.36074,11682544661.32534,13322673000.0
55,2,8,8874165712.707066,9293744349.226927,8992618000.0
55,2,9,8053716934.350541,8917860443.958853,8423177000.0
55,2,10,8741971848.540947,8988917348.09337,9459775000.0
55,3,1,2661246457.195937,2662111397.2950034,864939.0
55,3,2,2531192021.161889,2531894828.4574986,709319.8
55,3,3,2303181046.990388,2303502093.3394847,321046.28
55,3,4,1742049696.0533051,1742379172.2394671,329476.2
55,3,5,1622217933.3683956,1622726195.523456,508262.2
55,3,6,1642381293.8909547,1643310856.257977,929562.5
55,3,7,1655773149.196531,1656229425.7720997,456276.72
55,3,8,1881921616.3625214,1882194247.3107564,272630.9
55,3,9,2124857844.3725398,2125178767.7281563,320923.38
55,3,10,2360316509.5626063,2360901699.3197794,585190.0
55,3,11,2751331008.797523,2752347281.5061994,1016311.1
55,3,12,2638970902.7648673,2639878016.9118094,907733.56
55,3,13,2354215671.2380533,2354985158.158999,769486.75
55,3,14,1747439084.2273858,1748200968.1788473,761883.5
55,3,15,1554424110.1082973,1555070646.1163015,646536.9
55,3,16,1637052139.3324594,1638276406.3421552,1227968.9
55,3,17,1596315451.5929017,1596726434.1510956,410982.3
55,3,18,1873820447.010722,1874102176.821584,281730.06
55,3,19,2089124666.4676018,2089468412.582207,344504.16
55,3,20,2339927821.752603,2340574089.2498794,646908.2
60,1,1,278389241023.45325,1451541848603.4019,1182816100000.0
60,2,1,8626407239.994503,10176026587.078632,7839841300.0
60,2,2,8473849137.624999,9547824793.353415,8364842500.0
60,2,3,6910963130.532314,8413401993.768299,4887958000.0
60,2,4,7035295612.209224,8372318909.940894,6069534700.0
60,2,5,7594349444.5556135,8433770265.178412,8354682400.0
60,2,6,9689614880.081974,11276598451.37594,9613728000.0
60,2,7,10248580825.743656,11682544661.32534,11039614000.0
60,2,8,7559373047.572298,9293744349.226927,6210008600.0
60,2,9,7456872518.933133,8917860443.958853,7026918000.0
60,2,10,7992828681.584718,8988917348.09337,8269570600.0
60,3,1,2660512980.775005,2662111397.2950034,1598417.2
60,3,2,2530554157.491883,2531894828.4574986,1352990.1
60,3,3,2302848954.1030135,2303502093.3394847,653174.7
60,3,4,1741768026.3696747,1742379172.2394671,612140.6
60,3,5,1621939730.7677858,1622726195.523456,786611.56
60,3,6,1641874741.468652,1643310856.257977,1436114.6
60,3,7,1655494901.2588687,1656229425.7720997,734524.4
60,3,8,1881629614.7599907,1882194247.3107564,564632.8
60,3,9,2124486852.6322246,2125178767.7281563,691914.94
60,3,10,2359787834.1088758,2360901699.3197794,1113865.0
60,3,11,2750506940.681002,2752347281.5061994,1845605.8
60,3,12,2638305022.0009685,2639878016.9118094,1573776.6
60,3,13,2353289006.1619444,2354985158.158999,1696151.9
60,3,14,1746613259.0230935,1748200968.1788473,1616103.9
60,3,15,1554050326.459804,1555070646.1163015,1020319.3
60,3,16,1636318752.1711304,1638276406.3421552,1966289.9
60,3,17,1596048283.625314,1596726434.1510956,678151.0
60,3,18,1873483450.7762225,1874102176.821584,618726.3
60,3,19,2088716460.5861049,2089468412.582207,753764.75
60,3,20,2339315522.6473846,2340574089.2498794,1259454.2
65,1,1,139600830905.38174,1451541848603.4019,1327190600000.0
65,2,1,8154299490.157056,10176026587.078632,5963914000.0
65,2,2,7714235379.531593,9547824793.353415,6190323000.0
65,2,3,6782637457.271778,8413401993.768299,3064593200.0
65,2,4,6807822511.738893,8372318909.940894,4483291600.0
65,2,5,6761453973.728595,8433770265.178412,6237220400.0
65,2,6,8921926249.694368,11276598451.37594,7335662000.0
65,2,7,9186472699.866737,11682544661.32534,8327111700.0
65,2,8,7350003053.071258,9293744349.226927,4059578600.0
65,2,9,7097334336.310584,8917860443.958853,5189956600.0
65,2,10,7179164179.958537,8988917348.09337,6144288000.0
65,3,1,2659527221.811929,2662111397.2950034,2584182.2
65,3,2,2529775117.075258,2531894828.4574986,2137018.5
65,3,3,2302416326.2421165,2303502093.3394847,1086077.4
65,3,4,1741423121.8004162,1742379172.2394671,960835.9
65,3,5,1621660823.6241431,1622726195.523456,1065596.6
65,3,6,1641266073.1990125,1643310856.257977,2045857.0
65,3,7,1655114480.4584565,1656229425.7720997,1115087.0
65,3,8,1881243646.7225118,1882194247.3107564,950600.4
65,3,9,2124000935.9002404,2125178767.7281563,1177832.8
65,3,10,2359086710.5746117,2360901699.3197794,1814988.8
65,3,11,2749388168.808196,2752347281.5061994,2979209.8
65,3,12,2637486666.3992276,2639878016.9118094,2392583.0
65,3,13,2352001174.161289,2354985158.158999,2983985.2
65,3,14,1745490619.385189,1748200968.1788473,2787811.0
65,3,15,1553644073.9327831,1555070646.1163015,1426830.8
65,3,16,1635434955.3017867,1638276406.3421552,2857967.0
65,3,17,1595698954.5962272,1596726434.1510956,1027479.6
65,3,18,1873063530.8923013,1874102176.821584,1038646.5
65,3,19,2088205449.0773835,2089468412.582207,1266204.0
65,3,20,2338592387.6875954,2340574089.2498794,1982734.4
70,1,1,76622283782.8987,1451541848603.4019,1392613700000.0
70,2,1,8019430414.204489,10176026587.078632,4448436000.0
70,2,2,7441983112.975616,9547824793.353415,4691390500.0
70,2,3,6980616447.686342,8413401993.768299,2176068000.0
70,2,4,6716218152.107566,8372318909.940894,3274609200.0
70,2,5,6416912808.415268,8433770265.178412,4472921600.0
70,2,6,8631118794.295307,11276598451.37594,5485556000.0
70,2,7,8740351711.7748,11682544661.32534,6391968300.0
70,2,8,7471882504.062605,9293744349.226927,2987636000.0
70,2,9,7001894886.524461,8917860443.958853,3783219000.0
70,2,10,6917625232.254275,8988917348.09337,4432196600.0
70,3,1,2658372664.2051105,2662111397.2950034,3738833.5
70,3,2,2528912705.777385,2531894828.4574986,3031039.2
70,3,3,2301888587.261224,2303502093.3394847,1614095.8
70,3,4,1741007508.764946,1742379172.2394671,1382660.8
