Iteracion,led_x,led_y,Diferencia,Data,Simuladas
2,12,10,1214825769.9293268,1214847676.8822675,21906.969
2,12,12,1533399055.0222542,1533459711.2593768,60656.254
2,12,14,1988499837.781663,1990389751.3108914,1896768.1
2,12,16,2415408354.7880406,2433414771.240269,18221686.0
2,12,18,1804570207.362117,1806176252.9835434,1606044.2
2,12,20,1502198114.2207754,1502248050.8705063,49936.625
2,12,22,1233217264.8040497,1233241683.8680649,24419.053
2,12,24,925996811.6566817,926009927.1645377,13115.519
2,12,26,739103140.3130475,739113364.1011336,10223.784
2,14,6,923511516.4404778,923987060.240725,509631.8
2,14,8,1110781667.2112658,1111323594.9013598,542382.2
2,14,10,1412517205.9839509,1413060628.598468,543422.9
2,14,12,2460385165.3122277,2462786805.308541,2401637.8
2,14,14,5289650100.690403,5314983572.47767,26525276.0
2,14,16,10863129377.024853,11749118358.77177,989759740.0
2,14,18,6460167489.116599,6502966080.668471,43869210.0
2,14,20,2896501274.0514674,2898953127.194635,2452698.5
2,14,22,1652480851.588643,1653080683.9100797,600746.9
2,14,24,1114718892.881829,1115196348.3129127,481420.06
2,14,26,814968124.4740239,815366817.7359037,398693.12
2,16,6,933956814.1336118,940749325.5523566,6792921.0
2,16,8,1190950676.5815344,1200093820.6539075,9151178.0
2,16,10,1718607707.8941665,1734134354.615302,16268385.0
2,16,12,3463579440.5977597,3507628736.975707,44150172.0
2,16,14,12000457871.608427,13100967782.162106,1323289500.0
2,16,16,198086105386.6162,1699631967460.2434,1690671900000.0
2,16,18,13913018786.572432,15521329784.945288,1942774100.0
2,16,20,3387481461.854669,3429991399.001617,45793796.0
2,16,22,1937995713.6373746,1955398704.5841215,17533136.0
2,16,24,1394000256.964113,1403334523.0531025,9342260.0
2,16,26,1161486994.1660178,1168378937.6402776,6893273.0
2,18,6,788297890.1851994,788621387.8219367,323497.56
2,18,8,1080710552.8784559,1081067076.5421336,356523.66
2,18,10,1620873845.7289975,1621306392.5869634,440400.38
2,18,12,2815511703.6262803,2817323931.1350107,1818028.0
2,18,14,5822321175.802462,5843086146.017466,20970170.0
2,18,16,10302056409.837685,10895157955.378313,681109400.0
2,18,18,5337565952.73988,5363096884.440509,25829310.0
2,18,20,2472281307.097442,2473831068.354368,1717126.9
2,18,22,1360770401.2685912,1361201054.732271,443217.16
2,18,24,1091734801.48574,1092118093.6355898,411682.6
2,18,26,901303822.5033015,901683747.7805996,427327.88
2,20,6,675927314.4595501,675936935.2527974,9620.786
2,20,8,898418415.769722,898430536.2603201,12120.497
2,20,10,1258757146.1280966,1258779684.009439,22537.902
2,20,12,1414764359.3793159,1414811400.8491688,47041.473
2,20,14,1833384246.228123,1834691153.493847,1311244.6
2,20,16,2317809086.1899266,2335139796.8656483,17477648.0
2,20,18,2014967174.1804602,2017062767.094726,2224583.5
2,20,20,1463955352.6787665,1464015909.6231291,60556.88
2,20,22,1213098875.655062,1213121361.183201,22485.527
2,20,24,844335689.5834063,844348660.1829301,12970.598
2,20,26,714846321.5451578,714857093.9977893,10772.449
2,22,6,530091291.9060474,530096214.59295416,4922.681
2,22,8,640753169.5669882,640758894.7043425,5725.135
2,22,10,672785656.5560552,672795829.5869992,10173.039
2,22,12,653657703.9563236,653678890.3175666,21186.373
2,22,14,776480390.6898339,776875718.2905138,395365.4
2,22,16,959686975.4578086,965772806.1894858,6190969.5
2,22,18,1009711310.5827454,1010169385.4357854,477060.0
2,22,20,923055985.0314459,923077657.8742522,21672.83
2,22,22,835546437.9420378,835557397.8725171,10959.934
2,22,24,592785201.8532727,592791008.2105324,5806.354
2,22,26,542309623.1069825,542314545.1146182,4922.0107
2,24,6,403705005.81374514,403707138.06553125,2132.2502
2,24,8,434024759.0241431,434027481.819797,2722.791
2,24,10,396428873.2728167,396434510.4747114,5637.195
2,24,12,436578455.2250447,436590264.78143156,11809.565
2,24,14,464012444.9903128,464299178.32784265,286995.78
2,24,16,565367296.6297464,567987151.442726,3334703.0
2,24,18,551533809.740722,551965769.171354,431959.16
2,24,20,567865624.9732215,567878524.7755972,12899.793
2,24,22,487921674.5190838,487927639.40517896,5964.8853
2,24,24,453697586.73314244,453700380.8449236,2794.109
2,24,26,426257502.11554927,426259645.3338099,2143.217
2,26,6,278240772.74603903,278242326.3211417,1553.576
2,26,8,297421207.3570703,297423313.931232,2106.5762
2,26,10,287789587.1781923,287794484.63701546,4897.454
2,26,12,330997547.8298264,331006246.83495766,8699.009
2,26,14,336925505.6082419,337187601.48734695,268746.47
2,26,16,385893100.86394334,388248965.6340632,2355864.0
2,26,18,358478633.811407,358871398.9573452,395763.9
2,26,20,396195732.9978702,396206935.72298837,11202.73
2,26,22,370947092.001754,370952260.8981518,5168.8926
2,26,24,340428455.71639425,340430646.76186377,2191.0454
2,26,26,335806002.9479787,335807645.12248504,1642.1735
3,6,6,328672928.0238424,328674570.5838822,1642.5613
